name,proportion,dimention,item,type,total,order,size
BARCELONA OPTIMA,1.00E-07,ml,11460,Fabric,4.19E-05,69985,18
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-07,ml,39411,Fabric,1.20E-06,69991,XL
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
COSMOS,1.00E-06,ml,15191,Fabric,0.000177,69975,34
JABON CL,1.00E-06,ml,21156,Fabric,2.80E-05,69975,34
JABON CL,1.00E-06,ml,21156,Fabric,2.80E-05,69975,34
COSMOS,1.00E-06,ml,21164,Fabric,1.90E-05,69975,32
COSMOS,1.00E-06,ml,21164,Fabric,1.90E-05,69975,32
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
AMORELA CL,1.00E-06,ml,68600,Fabric,0.000302,69975,36
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
COSMOS,1.00E-06,ml,39409,Fabric,0.000108,69991,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
FRANJA BRONZINI,1.00E-05,ml,17798,Component,0.00207,69975,XL
JABON OS,1.00E-05,ml,21156,Fabric,0.00028,69975,34
SENSACION CL,1.00E-05,ml,21156,Fabric,0.00028,69975,34
JABON OS,1.00E-05,ml,21156,Fabric,0.00028,69975,34
SENSACION CL,1.00E-05,ml,21156,Fabric,0.00028,69975,34
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
BARCELONA OPTIMA,1.00E-05,ml,11522,Fabric,0.00402,69985,18
T0275/ TTJ2019RAYA,1.00E-05,ml,39409,Fabric,0.00108,69991,XL
T0638TTJ0638 NYL,1.00E-05,ml,39409,Fabric,0.00108,69991,XL
T0275/ TTJ2019RAYA,1.00E-05,ml,39409,Fabric,0.00108,69991,XL
